CONCERNCO_W49_num,BENEFITCO_W49_num,POSNEGCO_W49_num,TRACKCO1a_W49_num,TRACKCO1b_W49_num,CONTROLCO_W49_num,UNDERSTANDCO_W49_num,ANONYMOUS1CO_W49_num,CONCERNGOV_W49_num,BENEFITGOV_W49_num,POSNEGGOV_W49_num,TRACKGOV1a_W49_num,TRACKGOV1b_W49_num,CONTROLGOV_W49_num,UNDERSTANDGOV_W49_num,ANONYMOUS1GOV_W49_num
4.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,,,,,,,,
,,,,,,,,4.0,,0.0,2.0,0.0,1.0,1.0,4.0
1.0,2.0,0.0,4.0,4.0,1.0,3.0,0.0,,,,,,,,
3.0,0.0,0.0,4.0,,1.0,1.0,0.0,,,,,,,,
4.0,0.0,0.0,3.0,,3.0,1.0,0.0,,,,,,,,
1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,,,,,,,,
3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,1.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0
4.0,,0.0,3.0,2.0,0.0,3.0,0.0,,,,,,,,
4.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,,,,,,,,
3.0,,0.0,3.0,1.0,0.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,0.0,,0.0,0.0,1.0,0.0
3.0,0.0,4.0,,0.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,1.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0
1.0,2.0,4.0,4.0,2.0,3.0,3.0,0.0,,,,,,,,
4.0,4.0,0.0,3.0,,0.0,1.0,4.0,,,,,,,,
4.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
1.0,2.0,,2.0,1.0,3.0,1.0,4.0,,,,,,,,
,,,,,,,,0.0,0.0,4.0,,1.0,1.0,1.0,4.0
3.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,,,,,,,,
3.0,2.0,0.0,2.0,2.0,4.0,1.0,0.0,,,,,,,,
3.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0
3.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,,0.0,3.0,1.0,3.0,0.0,4.0
4.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,,2.0,1.0,1.0,1.0,0.0
3.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,,,,,,,,
4.0,,0.0,,0.0,0.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
3.0,,0.0,4.0,4.0,0.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,,0.0,3.0,2.0,1.0,3.0,0.0
,,,,,,,,1.0,0.0,0.0,,1.0,0.0,0.0,0.0
,,,,,,,,3.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0
,,,,,,,,4.0,,0.0,2.0,2.0,1.0,1.0,0.0
4.0,2.0,0.0,,,1.0,3.0,0.0,,,,,,,,
,,,,,,,,0.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0
4.0,2.0,0.0,4.0,2.0,0.0,3.0,0.0,,,,,,,,
,,,,,,,,3.0,,0.0,2.0,,1.0,1.0,0.0
4.0,,4.0,3.0,1.0,0.0,0.0,4.0,,,,,,,,
4.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,,,,,,,,
,,,,,,,,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,,,,,,,,
,,,,,,,,4.0,4.0,0.0,4.0,4.0,1.0,1.0,0.0
4.0,,0.0,4.0,4.0,0.0,3.0,0.0,,,,,,,,
1.0,0.0,4.0,4.0,4.0,1.0,3.0,4.0,,,,,,,,
3.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,,,,,,,,
,,,,,,,,1.0,0.0,4.0,3.0,2.0,1.0,1.0,0.0
3.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,,,,,,,,
1.0,,0.0,3.0,1.0,0.0,3.0,0.0,,,,,,,,
3.0,,0.0,3.0,0.0,1.0,4.0,0.0,,,,,,,,
1.0,4.0,4.0,4.0,2.0,3.0,3.0,0.0,,,,,,,,
4.0,0.0,0.0,4.0,,3.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,4.0,4.0,2.0,1.0,1.0,0.0
,,,,,,,,3.0,,0.0,,0.0,,0.0,0.0
,,,,,,,,1.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0
3.0,4.0,0.0,3.0,,1.0,1.0,4.0,,,,,,,,
1.0,0.0,4.0,3.0,2.0,1.0,1.0,4.0,,,,,,,,
1.0,2.0,0.0,4.0,4.0,0.0,1.0,0.0,,,,,,,,
1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,,,,,,,,
3.0,0.0,4.0,3.0,,0.0,0.0,4.0,,,,,,,,
3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,,,,,,,,
4.0,,0.0,4.0,2.0,0.0,0.0,4.0,,,,,,,,
3.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,,0.0,2.0,2.0,1.0,1.0,0.0
3.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,,,,,,,,
4.0,,0.0,4.0,4.0,0.0,1.0,4.0,,,,,,,,
4.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,,,,,,,,
4.0,2.0,0.0,3.0,,0.0,3.0,0.0,,,,,,,,
3.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,,,,,,,,
1.0,2.0,0.0,4.0,,1.0,3.0,4.0,,,,,,,,
1.0,2.0,0.0,2.0,2.0,3.0,1.0,4.0,,,,,,,,
3.0,,0.0,3.0,,0.0,1.0,4.0,,,,,,,,
3.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,,,,,,,,
3.0,2.0,0.0,4.0,2.0,3.0,3.0,0.0,,,,,,,,
4.0,,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,1.0,0.0,4.0,0.0,0.0,1.0,4.0,4.0
3.0,,0.0,3.0,1.0,3.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
,,,,,,,,1.0,0.0,4.0,,1.0,1.0,1.0,4.0
,,,,,,,,1.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0
4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,,,,,
3.0,,0.0,4.0,2.0,0.0,0.0,0.0,,,,,,,,
1.0,,0.0,,0.0,3.0,1.0,4.0,,,,,,,,
,,,,,,,,1.0,2.0,0.0,4.0,,3.0,1.0,0.0
4.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,,,,,,,,
1.0,0.0,0.0,2.0,,0.0,1.0,4.0,,,,,,,,
3.0,0.0,0.0,3.0,,0.0,1.0,0.0,,,,,,,,
4.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,,0.0,3.0,1.0,0.0,3.0,0.0
4.0,0.0,4.0,2.0,4.0,3.0,3.0,4.0,,,,,,,,
,,,,,,,,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
3.0,0.0,0.0,3.0,,0.0,1.0,0.0,,,,,,,,
,,,,,,,,1.0,0.0,4.0,,0.0,1.0,3.0,0.0
,,,,,,,,3.0,0.0,0.0,3.0,1.0,1.0,1.0,4.0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,0.0,,4.0,0.0,0.0,,0.0,4.0
3.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,,,,,,,,
3.0,2.0,0.0,3.0,2.0,1.0,3.0,4.0,,,,,,,,
3.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,,,,,,,,
,,,,,,,,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0
0.0,,0.0,0.0,2.0,0.0,1.0,4.0,,,,,,,,
4.0,,0.0,4.0,0.0,0.0,0.0,4.0,,,,,,,,
3.0,2.0,0.0,4.0,,1.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,0.0,0.0,4.0,,1.0,1.0,0.0
,,,,,,,,1.0,,0.0,,1.0,0.0,1.0,0.0
,,,,,,,,4.0,4.0,,0.0,0.0,0.0,1.0,0.0
,,,,,,,,3.0,,0.0,3.0,2.0,1.0,1.0,4.0
,,,,,,,,4.0,,0.0,4.0,4.0,1.0,0.0,4.0
,,,,,,,,4.0,,0.0,4.0,4.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,,,,,,,,
1.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,,,,,,,,
4.0,2.0,4.0,4.0,2.0,0.0,3.0,0.0,,,,,,,,
,,,,,,,,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0
4.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,1.0,0.0,4.0,2.0,2.0,0.0,3.0,4.0
,,,,,,,,1.0,,0.0,2.0,0.0,1.0,0.0,4.0
,,,,,,,,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0
,,,,,,,,1.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0
0.0,0.0,4.0,,0.0,3.0,1.0,0.0,,,,,,,,
3.0,0.0,0.0,2.0,1.0,1.0,3.0,4.0,,,,,,,,
4.0,,0.0,4.0,2.0,0.0,0.0,0.0,,,,,,,,
3.0,2.0,0.0,4.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,2.0,4.0,3.0,,1.0,3.0,4.0
3.0,0.0,4.0,2.0,2.0,0.0,3.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,0.0,4.0,,1.0,1.0,0.0
1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,
0.0,,4.0,,0.0,0.0,0.0,0.0,,,,,,,,
3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,,,,,,,,
3.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,,,,,,,,
1.0,4.0,4.0,4.0,2.0,3.0,3.0,0.0,,,,,,,,
4.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,,,,,,,,
3.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,,,,,,,,
3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,,,,,,,,
3.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,,,,,,,,
3.0,0.0,4.0,4.0,2.0,1.0,1.0,0.0,,,,,,,,
3.0,0.0,0.0,4.0,,0.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,0.0,0.0,3.0,4.0,,4.0,4.0
,,,,,,,,4.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,,,,,,,,
3.0,2.0,0.0,4.0,2.0,1.0,3.0,0.0,,,,,,,,
3.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,,0.0,2.0,1.0,0.0,1.0,0.0
,,,,,,,,4.0,,0.0,4.0,4.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0,,,,,,,,
,,,,,,,,1.0,0.0,0.0,2.0,1.0,3.0,1.0,4.0
,,,,,,,,3.0,,0.0,2.0,2.0,1.0,1.0,0.0
,,,,,,,,1.0,,0.0,2.0,2.0,0.0,0.0,0.0
4.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0
,,,,,,,,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0
,,,,,,,,1.0,0.0,0.0,,0.0,1.0,1.0,4.0
4.0,0.0,0.0,4.0,2.0,3.0,1.0,0.0,,,,,,,,
,,,,,,,,1.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0
3.0,2.0,0.0,4.0,4.0,0.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,,0.0,4.0,4.0,0.0,0.0,0.0
1.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,,,,,,,,
,,,,,,,,3.0,4.0,0.0,3.0,1.0,1.0,3.0,0.0
,,,,,,,,3.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0
,,,,,,,,0.0,,4.0,,1.0,0.0,0.0,4.0
,,,,,,,,4.0,,0.0,4.0,2.0,0.0,0.0,0.0
3.0,,0.0,4.0,2.0,0.0,0.0,4.0,,,,,,,,
3.0,2.0,4.0,3.0,2.0,0.0,3.0,0.0,,,,,,,,
3.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,,,,,,,,
4.0,,0.0,4.0,4.0,0.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0
,,,,,,,,0.0,,4.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,3.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0
,,,,,,,,4.0,,0.0,2.0,2.0,0.0,0.0,0.0
4.0,,0.0,4.0,1.0,0.0,0.0,4.0,,,,,,,,
,,,,,,,,4.0,,0.0,4.0,4.0,0.0,1.0,0.0
3.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,,0.0,3.0,2.0,0.0,0.0,0.0
4.0,,0.0,3.0,2.0,0.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,,0.0,3.0,2.0,0.0,1.0,0.0
4.0,2.0,0.0,4.0,4.0,0.0,3.0,0.0,,,,,,,,
,,,,,,,,1.0,2.0,0.0,4.0,1.0,0.0,4.0,0.0
,,,,,,,,,,,0.0,0.0,0.0,0.0,4.0
,,,,,,,,4.0,,0.0,3.0,2.0,,0.0,0.0
1.0,4.0,4.0,4.0,,3.0,3.0,0.0,,,,,,,,
,,,,,,,,3.0,,,2.0,1.0,1.0,0.0,0.0
,,,,,,,,3.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0
4.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,,,,,,,,
1.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,,,,,,,,
4.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,,,,,,,,
,,,,,,,,1.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0
,,,,,,,,3.0,2.0,0.0,3.0,2.0,,3.0,4.0
3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,,,,,,,,
,,,,,,,,3.0,2.0,0.0,,1.0,0.0,0.0,4.0
1.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,1.0,0.0,0.0,,2.0,0.0,3.0,0.0
,,,,,,,,4.0,,0.0,,1.0,0.0,3.0,4.0
4.0,0.0,0.0,4.0,,1.0,3.0,0.0,,,,,,,,
,,,,,,,,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0
3.0,0.0,0.0,4.0,,1.0,0.0,4.0,,,,,,,,
,,,,,,,,0.0,,4.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,,,,,,,,
,,,,,,,,1.0,,0.0,2.0,1.0,0.0,1.0,4.0
1.0,0.0,0.0,3.0,1.0,3.0,3.0,4.0,,,,,,,,
4.0,2.0,0.0,4.0,,1.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,,0.0,2.0,1.0,0.0,0.0,0.0
3.0,2.0,0.0,2.0,2.0,3.0,3.0,4.0,,,,,,,,
,,,,,,,,4.0,,0.0,4.0,2.0,0.0,1.0,0.0
1.0,0.0,4.0,3.0,,1.0,1.0,0.0,,,,,,,,
4.0,4.0,0.0,4.0,1.0,3.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,,0.0,,1.0,0.0,1.0,0.0
4.0,,0.0,4.0,,1.0,4.0,4.0,,,,,,,,
4.0,,0.0,3.0,2.0,1.0,3.0,0.0,,,,,,,,
,,,,,,,,3.0,,0.0,2.0,2.0,0.0,1.0,4.0
,,,,,,,,3.0,,4.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,4.0,,0.0,3.0,,0.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,
4.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,,,,,,,,
,,,,,,,,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
,,,,,,,,4.0,,0.0,4.0,4.0,1.0,1.0,0.0
,,,,,,,,4.0,0.0,0.0,3.0,2.0,1.0,3.0,4.0
,,,,,,,,3.0,0.0,0.0,3.0,2.0,3.0,1.0,4.0
,,,,,,,,3.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0
3.0,0.0,4.0,3.0,,0.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,0.0,3.0,,1.0,3.0,0.0
3.0,0.0,4.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,,0.0,4.0,1.0,0.0,1.0,4.0
,,,,,,,,1.0,,4.0,3.0,2.0,0.0,0.0,0.0
4.0,,0.0,3.0,0.0,1.0,3.0,4.0,,,,,,,,
3.0,2.0,0.0,2.0,2.0,3.0,3.0,4.0,,,,,,,,
,,,,,,,,3.0,2.0,0.0,4.0,,3.0,1.0,0.0
,,,,,,,,1.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0
,,,,,,,,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
,,,,,,,,3.0,,0.0,3.0,4.0,0.0,1.0,0.0
4.0,2.0,0.0,4.0,,1.0,1.0,4.0,,,,,,,,
,,,,,,,,4.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0
4.0,0.0,0.0,4.0,4.0,1.0,3.0,0.0,,,,,,,,
3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,2.0,0.0,4.0,2.0,0.0,1.0,0.0
4.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,,,,,,,,
3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,,,,,,,,
3.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,,,,,,,,
3.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,,,,,,,,
1.0,2.0,4.0,3.0,,3.0,3.0,0.0,,,,,,,,
,,,,,,,,3.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0
4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,,,,,,,,
,,,,,,,,4.0,,,4.0,4.0,0.0,1.0,4.0
1.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,,,,,,,,
,,,,,,,,3.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0
,,,,,,,,1.0,,0.0,,1.0,1.0,1.0,4.0
,,,,,,,,3.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0
,,,,,,,,4.0,2.0,0.0,4.0,,0.0,1.0,0.0
3.0,2.0,4.0,3.0,1.0,0.0,3.0,4.0,,,,,,,,
,,,,,,,,1.0,,4.0,2.0,1.0,0.0,0.0,0.0
,,,,,,,,4.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0
4.0,2.0,,,,3.0,,0.0,,,,,,,,
3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
3.0,0.0,0.0,3.0,,1.0,1.0,4.0,,,,,,,,
3.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,,,,,,,,
,,,,,,,,1.0,0.0,0.0,3.0,,0.0,4.0,0.0
1.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,4.0,,1.0,0.0,1.0,0.0
3.0,0.0,0.0,4.0,4.0,0.0,3.0,0.0,,,,,,,,
4.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,,,,,,,,
3.0,2.0,4.0,4.0,,1.0,3.0,0.0,,,,,,,,
3.0,0.0,0.0,4.0,,1.0,1.0,4.0,,,,,,,,
4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,,,,,,,,
3.0,2.0,0.0,2.0,2.0,3.0,3.0,4.0,,,,,,,,
4.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
3.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,,,,,,,,
4.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,,,,,,,,
,,,,,,,,1.0,,0.0,4.0,2.0,0.0,0.0,0.0
,,,,,,,,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0
,,,,,,,,3.0,0.0,4.0,4.0,2.0,1.0,3.0,0.0
4.0,,0.0,3.0,2.0,4.0,1.0,4.0,,,,,,,,
3.0,2.0,0.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,
4.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,,,,,,,,
3.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0
,,,,,,,,4.0,4.0,0.0,4.0,2.0,1.0,1.0,0.0
4.0,0.0,0.0,4.0,2.0,3.0,3.0,0.0,,,,,,,,
3.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,,,,,,,,
,,,,,,,,3.0,2.0,0.0,4.0,,,1.0,4.0
,,,,,,,,4.0,,0.0,4.0,1.0,1.0,1.0,0.0
4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,,,,,,,,
,,,,,,,,0.0,,4.0,,0.0,3.0,1.0,4.0
3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,3.0,,4.0,3.0,2.0,0.0,0.0,0.0
4.0,,0.0,4.0,2.0,0.0,0.0,0.0,,,,,,,,
,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,4.0
,,,,,,,,3.0,0.0,0.0,3.0,,0.0,1.0,0.0
3.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,,,,,,,,
,,,,,,,,0.0,,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,
4.0,,0.0,4.0,0.0,4.0,1.0,0.0,,,,,,,,
4.0,0.0,0.0,4.0,,1.0,3.0,4.0,,,,,,,,
,,,,,,,,3.0,,4.0,4.0,2.0,0.0,0.0,0.0
0.0,,0.0,,0.0,0.0,4.0,0.0,,,,,,,,
,,,,,,,,3.0,,0.0,2.0,1.0,1.0,1.0,4.0
,,,,,,,,3.0,0.0,4.0,2.0,2.0,1.0,1.0,4.0
4.0,,0.0,4.0,1.0,0.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,2.0,0.0,,0.0,0.0,0.0,0.0
3.0,0.0,0.0,2.0,2.0,1.0,3.0,4.0,,,,,,,,
4.0,,0.0,4.0,4.0,0.0,0.0,0.0,,,,,,,,
0.0,,4.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,1.0,0.0,4.0,,1.0,1.0,1.0,0.0
,,,,,,,,3.0,2.0,0.0,2.0,1.0,3.0,3.0,4.0
,,,,,,,,3.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0
3.0,0.0,0.0,3.0,1.0,1.0,3.0,4.0,,,,,,,,
4.0,,0.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,
3.0,2.0,4.0,4.0,,1.0,1.0,4.0,,,,,,,,
,,,,,,,,3.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0
4.0,4.0,0.0,4.0,1.0,4.0,4.0,4.0,,,,,,,,
,,,,,,,,3.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0
1.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,,,,,,,,
4.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,,,,,,,,
1.0,,0.0,4.0,2.0,0.0,0.0,4.0,,,,,,,,
4.0,,0.0,4.0,,0.0,0.0,0.0,,,,,,,,
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
4.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,,,,,,,,
3.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,,
,,,,,,,,3.0,2.0,4.0,3.0,,0.0,1.0,4.0
1.0,,0.0,0.0,1.0,3.0,4.0,4.0,,,,,,,,
3.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,0.0,4.0,,0.0,3.0,0.0
3.0,2.0,4.0,4.0,2.0,3.0,3.0,4.0,,,,,,,,
3.0,2.0,0.0,4.0,2.0,3.0,3.0,4.0,,,,,,,,
3.0,,0.0,4.0,2.0,0.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,,0.0,2.0,1.0,1.0,1.0,0.0
4.0,0.0,4.0,4.0,2.0,0.0,3.0,0.0,,,,,,,,
1.0,2.0,0.0,4.0,2.0,4.0,4.0,4.0,,,,,,,,
,,,,,,,,3.0,0.0,4.0,,1.0,1.0,0.0,4.0
,,,,,,,,4.0,,0.0,2.0,1.0,0.0,0.0,0.0
3.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,4.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0
,,,,,,,,3.0,,0.0,2.0,1.0,1.0,1.0,4.0
,,,,,,,,1.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0
,,,,,,,,4.0,,0.0,2.0,2.0,0.0,3.0,0.0
1.0,2.0,4.0,4.0,2.0,1.0,3.0,0.0,,,,,,,,
4.0,0.0,0.0,4.0,1.0,1.0,1.0,4.0,,,,,,,,
3.0,0.0,0.0,4.0,2.0,1.0,1.0,4.0,,,,,,,,
4.0,,0.0,2.0,1.0,1.0,1.0,4.0,,,,,,,,
,,,,,,,,1.0,0.0,0.0,,2.0,1.0,1.0,0.0
4.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,,,,,,,,
,,,,,,,,1.0,,0.0,3.0,2.0,0.0,1.0,0.0
,,,,,,,,4.0,,0.0,3.0,,0.0,0.0,0.0
,,,,,,,,1.0,0.0,4.0,,0.0,1.0,1.0,0.0
3.0,0.0,0.0,,0.0,3.0,1.0,4.0,,,,,,,,
,,,,,,,,0.0,,4.0,3.0,,0.0,3.0,0.0
,,,,,,,,4.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0
,,,,,,,,0.0,2.0,4.0,3.0,,,3.0,4.0
1.0,2.0,0.0,3.0,2.0,1.0,3.0,0.0,,,,,,,,
3.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,,,,,,,,
3.0,2.0,4.0,4.0,2.0,0.0,3.0,0.0,,,,,,,,
0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,,,,,,,,
3.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,,,,,,,,
1.0,0.0,0.0,4.0,0.0,4.0,3.0,4.0,,,,,,,,
3.0,,0.0,2.0,2.0,1.0,1.0,0.0,,,,,,,,
,,,,,,,,3.0,0.0,4.0,4.0,,1.0,3.0,0.0
,,,,,,,,4.0,,0.0,4.0,4.0,1.0,1.0,0.0
4.0,2.0,4.0,4.0,,1.0,4.0,0.0,,,,,,,,
